code,name,year,rank,index_over,band_over,index_dist,band_dist,index_poli,band_poli,index_homi,band_homi,index_jail,band_jail,index_wmid,band_wmid,index_inco,band_inco,index_demo,band_demo,index_crim,band_crim,index_inst,band_inst,index_rehr,band_rehr,index_weim,band_weim,index_gtdx,band_gtdx,index_icon,band_icon,index_ndic,band_ndic,index_mexp,band_mexp,index_army,band_army,index_unfu,band_unfu,index_hewe,band_hewe,index_weex,band_weex,index_refu,band_refu,index_rela,band_rela,index_econ,band_econ,index_ndec,band_ndec,index_militarisation,band_militarisation,index_safety_security,band_safety_security,index_domestic_international_conflict,band_domestic_international_conflict
GIN,Guinea,2008,101,2.065173527,3,2.731,3,1.248,1,3.757,4,1.198,1,5,5,2,2,2.5,5,4,5,4,5,3,3,1.005,1,1,1,1,1,1,1,1.373,1,1.179,1,3.8,4,1.033160103,2,1,1,1.029,4,2,2,1,1,1,1,2.106675312,4,2.593382353,4,1.40257649,2
GMB,The Gambia,2008,68,1.883036183,2,3.006,4,2.5,3,3.901,4,1.269,1,3,2,2,2,1,1,2.5,3,3,4,3,3,1.042,2,1,1,1.053,3,1,1,1.363,1,1.089,1,4.175445853,5,1.001099838,1,1,1,1.023,4,2,2,1,1,1,1,1.784834778,2,2.324147059,3,1.408038647,3
GNB,Guinea-Bissau,2008,126,2.191312763,3,2.997,3,1.5,1,2.398,3,1.245,1,5,5,4,5,1,1,4,5,5,5,2.5,2,1,1,2.0224,4,1,1,1,1,1.898,4,1.369,3,5,5,1.01462784,1,1,1,1.023,4,2,2,1,1,1,1,2.328110795,5,2.469258824,4,1.805152979,4
GNQ,Equatorial Guinea,2008,81,1.96712886,3,2.997,3,2.5,3,2.391,3,1.791,3,4,3,2,2,2.25,5,2.5,3,3,4,3,3,1.845,5,1,1,1,1,1,1,1.718,3,1.353,2,4.882173827,5,1.00527922,1,1,1,1.014,4,2,2,1,1,1,1,2.212481489,4,2.301,3,1.40257649,2
GRC,Greece,2008,80,1.964135799,3,2.535,3,2.837,4,1.59,1,1.712,2,3,2,3,4,2,5,2,1,1,1,2.5,2,5,5,2.3088,4,1,1,1,1,2.371,5,3.22,5,2.445152985,3,2.285435159,5,1.156,4,1,1,2,2,1.175,4,1,1,2.670388909,5,1.889105882,2,1.619927536,3
GTM,Guatemala,2008,111,2.109432391,3,3.385,4,1.794,1,5,5,1.451,1,4,3,2,2,1.5,4,5,5,3,4,4,5,1,1,1.6732,4,1.053,3,1,1,1.201,1,1.265,2,1.572335034,2,1.020072036,2,1,1,1.015,4,2,2,1,1,1,1,1.655110951,2,2.935188235,5,1.408038647,3
GUY,Guyana,2008,100,2.044872915,3,3.368,4,3.165,4,4.903,5,2.962,5,3,2,2,2,1,1,4,5,2.25,2,2.5,2,1,1,1.1228,3,1,1,1,1,1.588,2,1.205,2,3.656322216,4,1.003134537,1,1,1,1.029,4,2,2,1,1,1,1,1.759296944,2,2.719370588,5,1.40257649,2
HND,Honduras,2008,124,2.170539798,3,3.459,5,1.778,1,5,5,2.163,4,4,3,2,2,1.25,3,5,5,2.75,3,3,3,1,1,1.6804,4,1.053,3,1,1,1.33,1,1.258,2,5,5,1.030520493,2,1,1,1.005,3,2,2,1.125,4,1,1,2.07456244,4,2.833258824,5,1.419512077,3
HRV,Croatia,2008,31,1.641522406,2,2.001,1,3.146,4,1.775,2,1.617,2,4,3,1,1,1,1,2,1,2.25,2,2,2,1.159,3,1.0232,2,1,1,1,1,1.741,3,1.645,4,1.392589016,2,1.17448923,3,1,1,1.773,5,2,2,1.175,4,1,1,1.788155631,2,1.897952941,2,1.217351047,2
HTI,Haiti,2008,102,2.066183606,3,3.339,4,2.5,3,2.78,3,1.388,1,4,3,2,2,1,1,4.5,5,3.5,5,3.5,4,1,1,1.7468,4,1.105,4,1,1,1.024,1,1.001,1,4.985888325,5,1,1,1,1,1.078,4,2,2,1,1,1,1,2.001280979,4,2.635488235,4,1.413397746,3
